province,year,manslaughter,theft,scam
Soria,2019,1,105,97
Teruel,2019,0,106,88
Valencia,2019,3,7175,3091
Bizkaia,2019,2,8,114
Zaragoza,2019,1,2082,928
Melilla,2019,4,482,118
Alava,2020,0,1,34
Albacete,2020,2,721,361
Alicante,2020,15,3122,2144
Almeria,2020,6,774,636
Avila,2020,3,113,143
Badajoz,2020,4,860,636
Islas Baleares,2020,6,2328,1944
Barcelona,2020,37,11009,3508
Burgos,2020,1,504,362
Caceres,2020,5,250,343
Cadiz,2020,10,1848,1252
Castellon,2020,5,858,604
Ciudad Real,2020,4,603,526
Cordoba,2020,3,993,819
A Coruña,2020,2,1785,1028
Cuenca,2020,0,159,190
Girona,2020,4,907,652
Granada,2020,9,1458,866
Guadalajara,2020,1,291,252
Gipuzkoa,2020,0,3,76
Huelva,2020,6,794,424
Huesca,2020,1,135,141
Jaen,2020,6,557,727
Leon,2020,3,559,475
Lleida,2020,2,589,417
La Rioja,2020,3,431,189
Lugo,2020,2,276,289
Madrid,2020,37,17530,6470
Malaga,2020,14,3432,2819
Murcia,2020,11,2018,1620
Navarra,2020,1,768,825
Ourense,2020,2,277,290
Asturias,2020,6,1372,1103
Palencia,2020,1,136,212
Las Palmas,2020,4,2475,2292
Pontevedra,2020,5,1189,1092
Salamanca,2020,2,586,305
Santa Cruz de Tenerife,2020,7,1606,1014
Cantabria,2020,1,1012,536
Segovia,2020,3,143,203
Sevilla,2020,13,3013,1775
Soria,2020,0,64,108
Teruel,2020,2,55,85
Valencia,2020,8,5148,3033
Bizkaia,2020,1,8,232
Zaragoza,2020,0,1541,822
Melilla,2020,2,355,128
Alava,2021,0,3,54
Albacete,2021,1,711,583
Alicante,2021,10,3591,2627
Almeria,2021,8,1007,732
Avila,2021,0,133,142
Badajoz,2021,2,979,1165
Islas Baleares,2021,6,2729,1535
Barcelona,2021,38,11705,3672
Burgos,2021,0,602,425
Caceres,2021,1,300,457
Cadiz,2021,6,2353,1625
Castellon,2021,3,1102,708
Ciudad Real,2021,2,699,756
Cordoba,2021,0,982,1104
A Coruña,2021,6,2299,1035
Cuenca,2021,2,140,279
Girona,2021,5,1101,622
Granada,2021,8,1731,1058
Guadalajara,2021,1,270,317
Gipuzkoa,2021,0,0,73
Huelva,2021,4,1016,458
Huesca,2021,1,167,171
Jaen,2021,4,668,684
Leon,2021,5,649,591
Lleida,2021,2,638,427
La Rioja,2021,5,487,306
Lugo,2021,1,339,418
Madrid,2021,36,19862,7786
Malaga,2021,12,3971,3062
Murcia,2021,11,2431,1996
Navarra,2021,1,942,837
Ourense,2021,4,288,307
Asturias,2021,1,1600,1378
Palencia,2021,2,175,253
Las Palmas,2021,7,2959,1886
Pontevedra,2021,3,1416,1302
Salamanca,2021,1,758,427
Santa Cruz de Tenerife,2021,5,1954,1241
Cantabria,2021,4,1190,758
Segovia,2021,2,221,267
Sevilla,2021,8,3389,1941
Soria,2021,1,63,161
Teruel,2021,10,72,144
Valencia,2021,5,6996,3700
Bizkaia,2021,2,5,267
Zaragoza,2021,0,1911,1061
Melilla,2021,2,236,92
Alava,2022,0,15,108
Albacete,2022,2,998,649
Alicante,2022,15,4869,3100
Almeria,2022,10,1295,936
Avila,2022,1,157,162
Badajoz,2022,1,1357,685
Islas Baleares,2022,0,3979,1671
Barcelona,2022,34,15811,4322
Burgos,2022,2,655,536
Caceres,2022,2,449,980
Cadiz,2022,9,2765,1786
Castellon,2022,2,1436,752
Ciudad Real,2022,5,871,764
Cordoba,2022,1,1383,1392
A Coruña,2022,1,2494,1238
Cuenca,2022,1,165,293
Girona,2022,12,1677,798
Granada,2022,14,2146,1201
Guadalajara,2022,2,349,429
Gipuzkoa,2022,0,5,79
Huelva,2022,3,1226,585
Huesca,2022,0,251,222
Jaen,2022,6,783,818
Leon,2022,3,973,799
Lleida,2022,4,1015,458
La Rioja,2022,1,773,310
Lugo,2022,1,464,402
Madrid,2022,52,23288,9240
Malaga,2022,17,5309,3515
Murcia,2022,8,3052,2455
Navarra,2022,3,1199,742
Ourense,2022,0,394,298
Asturias,2022,6,2175,1921
Palencia,2022,1,223,354
Las Palmas,2022,7,3384,2034
Pontevedra,2022,6,1870,1378
Salamanca,2022,0,886,643
Santa Cruz de Tenerife,2022,6,2515,1455
Cantabria,2022,1,1438,959
Segovia,2022,0,278,291
Sevilla,2022,14,4003,2137
Soria,2022,2,103,277
Teruel,2022,12,85,167
Valencia,2022,7,8309,4204
Bizkaia,2022,8,18,180
Zaragoza,2022,0,2228,1230
Melilla,2022,3,284,152
Alava,2023,1,4,45
Albacete,2023,5,1168,762
Alicante,2023,11,5968,4105
Almeria,2023,6,1616,1199
Avila,2023,1,193,239
Badajoz,2023,2,1475,869
Islas Baleares,2023,9,4322,1774
Barcelona,2023,41,19682,4926
Burgos,2023,1,699,532
Caceres,2023,2,552,964
Cadiz,2023,13,3315,2121
Castellon,2023,4,1585,768
Ciudad Real,2023,3,1024,924
Cordoba,2023,4,1570,1501
A Coruña,2023,11,2694,1414
Cuenca,2023,3,207,304
Girona,2023,5,1804,904
Granada,2023,8,2579,1484
Guadalajara,2023,2,401,630
Gipuzkoa,2023,0,5,63
Huelva,2023,4,1457,614
Huesca,2023,1,252,277
